id,material,quantity,source,carbon_savings,project_location,used_in_project,date_added
2675,Straw Bale,109,EcoCement Co.,522.37,Seattle,Yes,2023-07-10
2676,Geopolymer,439,Sustainable Works,1413.89,Denver,Yes,2023-10-05
2677,Geopolymer,619,PlasticCycle,2165.0,Houston,Yes,2023-07-25
2678,Straw Bale,564,NatureBricks,1927.78,Boston,Yes,2023-02-23
2679,Geopolymer,301,GreenBuild Ltd.,1424.71,New York,Yes,2023-03-31
2680,Straw Bale,128,EcoCement Co.,394.52,Boston,Yes,2023-06-19
2681,Rammed Earth,315,EarthInnovations,680.51,Boston,No,2023-02-20
2682,Bamboo Fiber,197,EcoCement Co.,399.55,Chicago,Yes,2023-08-27
2683,Bamboo Fiber,219,EarthInnovations,623.95,San Francisco,Yes,2023-09-10
2684,Hempcrete,494,EcoCement Co.,1710.87,Denver,Yes,2023-12-21
2685,Hempcrete,236,NatureBricks,571.27,Miami,Yes,2023-03-15
2686,Bamboo Fiber,185,PlasticCycle,810.54,Houston,Yes,2023-02-17
2687,Hempcrete,747,EarthInnovations,1882.97,Boston,Yes,2023-07-29
2688,Hempcrete,262,EarthInnovations,802.22,Austin,Yes,2023-02-20
2689,Rammed Earth,408,GreenBuild Ltd.,1722.52,Seattle,Yes,2023-11-03
2690,Recycled Plastic,153,GreenBuild Ltd.,442.84,Seattle,No,2023-12-10
2691,Geopolymer,255,GreenBuild Ltd.,865.75,Miami,Yes,2023-10-27
2692,Hempcrete,598,GreenBuild Ltd.,2105.56,Denver,Yes,2023-07-06
2693,Geopolymer,175,PlasticCycle,613.98,Chicago,No,2023-01-22
2694,Straw Bale,908,EcoCement Co.,3006.18,Austin,No,2023-11-05
2695,Recycled Plastic,759,Sustainable Works,2173.71,Boston,Yes,2023-12-13
2696,Straw Bale,724,PlasticCycle,3454.9,Houston,Yes,2023-03-27
2697,Hempcrete,394,EcoCement Co.,1805.46,Los Angeles,Yes,2023-11-23
2698,Bamboo Fiber,781,Sustainable Works,2289.25,Miami,No,2023-03-09
2699,Hempcrete,186,GreenBuild Ltd.,480.32,Los Angeles,Yes,2023-09-25
2700,Hempcrete,984,PlasticCycle,4233.3,Los Angeles,No,2023-03-08
2701,Recycled Plastic,678,Sustainable Works,1831.13,New York,No,2023-03-27
2702,Straw Bale,723,GreenBuild Ltd.,3033.49,Houston,No,2023-09-19
2703,Rammed Earth,210,PlasticCycle,964.55,Denver,No,2023-09-02
2704,Bamboo Fiber,278,GreenBuild Ltd.,931.2,Chicago,No,2023-01-05
2705,Recycled Plastic,496,NatureBricks,1033.78,Boston,No,2023-11-29
2706,Geopolymer,140,EarthInnovations,440.64,Los Angeles,Yes,2023-10-04
2707,Rammed Earth,163,EcoCement Co.,467.68,Austin,Yes,2023-08-31
2708,Recycled Plastic,254,Sustainable Works,878.63,New York,Yes,2023-04-29
2709,Rammed Earth,841,NatureBricks,1936.41,San Francisco,Yes,2023-06-23
2710,Bamboo Fiber,601,Sustainable Works,2692.97,Seattle,No,2023-07-08
2711,Rammed Earth,371,Sustainable Works,1034.46,Boston,No,2023-07-12
2712,Recycled Plastic,847,EcoCement Co.,2437.1,Chicago,No,2023-09-08
2713,Hempcrete,912,EcoCement Co.,2108.25,Boston,No,2023-12-30
2714,Straw Bale,599,Sustainable Works,1706.82,Boston,No,2023-05-23
2715,Straw Bale,429,EcoCement Co.,892.07,Houston,No,2023-10-12
2716,Recycled Plastic,102,PlasticCycle,391.8,Austin,No,2023-01-31
2717,Geopolymer,194,NatureBricks,557.24,New York,No,2023-01-18
2718,Bamboo Fiber,962,EcoCement Co.,3215.8,New York,Yes,2023-12-17
2719,Geopolymer,804,NatureBricks,3841.41,Seattle,Yes,2023-11-29
2720,Hempcrete,934,EarthInnovations,4527.79,Austin,Yes,2023-04-22
2721,Recycled Plastic,810,NatureBricks,3589.89,Chicago,Yes,2023-07-31
2722,Recycled Plastic,516,NatureBricks,1839.18,Miami,No,2023-09-24
2723,Hempcrete,642,PlasticCycle,2589.92,Boston,Yes,2023-05-25
2724,Straw Bale,540,NatureBricks,1964.61,New York,No,2023-09-18
2725,Hempcrete,446,PlasticCycle,1810.08,Boston,No,2023-02-07
2726,Geopolymer,341,Sustainable Works,808.54,Chicago,No,2023-01-23
2727,Bamboo Fiber,534,PlasticCycle,1256.77,Boston,Yes,2023-09-18
2728,Recycled Plastic,888,GreenBuild Ltd.,3124.61,Miami,Yes,2023-01-29
2729,Straw Bale,482,NatureBricks,980.32,Boston,Yes,2023-03-23
2730,Hempcrete,216,Sustainable Works,681.12,Houston,Yes,2023-09-29
2731,Rammed Earth,588,EarthInnovations,1594.89,New York,No,2023-09-04
2732,Geopolymer,884,GreenBuild Ltd.,2492.47,Houston,No,2023-10-16
2733,Rammed Earth,665,EcoCement Co.,2285.93,New York,No,2023-03-02
2734,Rammed Earth,690,GreenBuild Ltd.,2848.94,Chicago,Yes,2023-01-14
2735,Bamboo Fiber,490,Sustainable Works,1942.85,Los Angeles,No,2023-06-20
2736,Recycled Plastic,650,EcoCement Co.,1360.83,Houston,No,2023-06-22
2737,Rammed Earth,284,PlasticCycle,885.46,Chicago,Yes,2023-10-04
2738,Rammed Earth,195,EarthInnovations,590.57,Los Angeles,No,2023-08-07
2739,Rammed Earth,966,EcoCement Co.,4156.18,Houston,No,2023-10-07
2740,Hempcrete,720,NatureBricks,3455.83,Seattle,No,2023-02-14
2741,Bamboo Fiber,450,Sustainable Works,1059.18,New York,No,2023-09-24
2742,Rammed Earth,394,NatureBricks,1944.85,Miami,Yes,2023-12-05
2743,Straw Bale,204,PlasticCycle,809.66,Houston,No,2023-08-23
2744,Geopolymer,394,PlasticCycle,1780.49,Denver,No,2023-09-17
2745,Recycled Plastic,487,GreenBuild Ltd.,1027.15,Seattle,Yes,2023-01-04
2746,Hempcrete,543,PlasticCycle,1110.35,Chicago,Yes,2023-12-20
2747,Hempcrete,241,EcoCement Co.,838.08,Chicago,No,2023-03-03
2748,Straw Bale,711,GreenBuild Ltd.,3531.44,Chicago,No,2023-08-01
2749,Rammed Earth,454,EcoCement Co.,1253.8,Boston,Yes,2023-03-27
2750,Rammed Earth,594,GreenBuild Ltd.,2504.25,Miami,Yes,2023-08-03
2751,Rammed Earth,968,EcoCement Co.,2316.43,Miami,No,2023-05-03
2752,Geopolymer,193,Sustainable Works,649.29,Los Angeles,Yes,2023-07-05
2753,Bamboo Fiber,371,Sustainable Works,1715.25,San Francisco,No,2023-07-15
2754,Rammed Earth,134,Sustainable Works,435.08,Austin,Yes,2023-08-13
2755,Bamboo Fiber,524,Sustainable Works,1704.79,Los Angeles,Yes,2023-04-23
2756,Hempcrete,597,NatureBricks,1821.08,Chicago,No,2023-02-08
2757,Rammed Earth,490,EarthInnovations,1888.55,Miami,Yes,2023-08-22
2758,Straw Bale,111,Sustainable Works,550.81,Miami,Yes,2023-03-26
2759,Rammed Earth,635,PlasticCycle,2537.82,Denver,Yes,2023-11-03
2760,Geopolymer,704,Sustainable Works,1488.63,New York,Yes,2023-05-17
2761,Geopolymer,534,PlasticCycle,2039.24,Miami,No,2023-07-02
2762,Geopolymer,403,EcoCement Co.,1468.98,Houston,No,2023-06-24
2763,Hempcrete,683,GreenBuild Ltd.,2695.37,Chicago,Yes,2023-04-24
2764,Straw Bale,677,NatureBricks,2788.74,New York,No,2023-02-20
2765,Bamboo Fiber,274,EarthInnovations,1172.22,Los Angeles,Yes,2023-10-12
2766,Straw Bale,565,EcoCement Co.,2480.87,Houston,No,2023-07-06
2767,Geopolymer,565,NatureBricks,2781.68,New York,No,2023-05-21
2768,Bamboo Fiber,663,EarthInnovations,2777.8,Boston,No,2023-11-20
2769,Geopolymer,418,PlasticCycle,870.9,Houston,No,2023-09-07
2770,Hempcrete,698,EarthInnovations,3153.09,Chicago,Yes,2023-08-17
2771,Rammed Earth,594,GreenBuild Ltd.,2664.61,Chicago,No,2023-12-05
2772,Straw Bale,288,PlasticCycle,1438.71,Denver,Yes,2023-07-18
2773,Geopolymer,515,Sustainable Works,1223.2,Miami,No,2023-11-13
2774,Straw Bale,234,EcoCement Co.,1150.98,San Francisco,No,2023-01-10
2775,Bamboo Fiber,825,GreenBuild Ltd.,3052.29,Houston,Yes,2023-06-29
2776,Geopolymer,153,GreenBuild Ltd.,338.18,Houston,Yes,2023-02-15
2777,Recycled Plastic,502,GreenBuild Ltd.,1252.3,Seattle,Yes,2023-10-21
2778,Straw Bale,343,NatureBricks,1163.07,Seattle,No,2023-01-02
2779,Rammed Earth,657,NatureBricks,1474.98,Miami,No,2023-10-30
2780,Straw Bale,480,EarthInnovations,2154.34,Miami,Yes,2023-07-22
2781,Hempcrete,123,GreenBuild Ltd.,500.63,Miami,Yes,2023-05-30
2782,Bamboo Fiber,109,Sustainable Works,466.39,Austin,Yes,2023-04-02
2783,Straw Bale,645,EcoCement Co.,3172.57,Denver,Yes,2023-05-12
2784,Bamboo Fiber,764,NatureBricks,3367.17,Chicago,No,2023-08-18
2785,Recycled Plastic,511,PlasticCycle,2214.59,Boston,Yes,2023-04-01
2786,Geopolymer,849,Sustainable Works,2504.28,San Francisco,No,2023-12-07
2787,Geopolymer,689,EcoCement Co.,2101.51,Austin,Yes,2023-11-02
2788,Straw Bale,805,EcoCement Co.,2128.8,San Francisco,No,2023-07-10
2789,Bamboo Fiber,509,GreenBuild Ltd.,1741.11,Los Angeles,No,2023-11-20
2790,Bamboo Fiber,144,EarthInnovations,335.95,Houston,No,2023-05-01
2791,Geopolymer,620,GreenBuild Ltd.,3021.08,Miami,No,2023-05-15
2792,Rammed Earth,554,EarthInnovations,2695.39,Austin,Yes,2023-02-17
2793,Hempcrete,891,NatureBricks,2027.81,Austin,Yes,2023-03-22
2794,Hempcrete,356,Sustainable Works,1753.77,Miami,No,2023-04-13
2795,Straw Bale,920,PlasticCycle,2800.4,Miami,Yes,2023-06-28
2796,Geopolymer,494,EcoCement Co.,2464.9,Los Angeles,No,2023-04-14
2797,Rammed Earth,702,NatureBricks,1724.04,Boston,No,2023-12-23
2798,Straw Bale,779,EcoCement Co.,3214.64,Los Angeles,No,2023-07-21
2799,Recycled Plastic,316,Sustainable Works,1277.36,Seattle,No,2023-09-02
2800,Geopolymer,830,PlasticCycle,2290.66,Chicago,No,2023-09-30
2801,Geopolymer,933,EcoCement Co.,2632.73,Austin,Yes,2023-01-29
2802,Geopolymer,829,EcoCement Co.,3350.44,Los Angeles,No,2023-01-06
2803,Recycled Plastic,772,Sustainable Works,2305.21,Seattle,Yes,2023-08-18
2804,Straw Bale,647,PlasticCycle,1780.93,Austin,Yes,2023-07-15
2805,Recycled Plastic,235,NatureBricks,746.98,San Francisco,Yes,2023-06-07
2806,Geopolymer,614,PlasticCycle,1789.96,Los Angeles,No,2023-12-13
2807,Straw Bale,689,NatureBricks,3107.1,Boston,No,2023-06-02
2808,Recycled Plastic,938,Sustainable Works,3922.07,Seattle,No,2023-11-05
2809,Rammed Earth,804,NatureBricks,3523.1,New York,Yes,2023-02-11
2810,Bamboo Fiber,616,PlasticCycle,1745.11,Seattle,No,2023-03-09
2811,Geopolymer,615,GreenBuild Ltd.,1966.8,Austin,Yes,2023-03-02
2812,Recycled Plastic,280,NatureBricks,634.22,San Francisco,No,2023-02-28
2813,Straw Bale,936,EcoCement Co.,2321.97,San Francisco,Yes,2023-11-14
2814,Geopolymer,445,Sustainable Works,1164.71,Boston,No,2023-04-29
2815,Bamboo Fiber,914,PlasticCycle,3053.1,Chicago,No,2023-08-20
2816,Recycled Plastic,506,PlasticCycle,1153.61,San Francisco,Yes,2023-07-06
2817,Straw Bale,502,EcoCement Co.,1911.37,San Francisco,No,2023-09-30
2818,Geopolymer,331,NatureBricks,1187.31,Seattle,Yes,2023-07-02
2819,Hempcrete,580,GreenBuild Ltd.,2468.29,Boston,Yes,2023-04-03
2820,Straw Bale,613,EcoCement Co.,2939.47,Houston,Yes,2023-12-23
2821,Rammed Earth,438,EcoCement Co.,1387.22,Seattle,No,2023-04-28
2822,Recycled Plastic,973,PlasticCycle,4611.0,Chicago,Yes,2023-11-22
2823,Geopolymer,263,NatureBricks,1065.29,Boston,Yes,2023-07-31
2824,Rammed Earth,912,EarthInnovations,2534.34,Boston,Yes,2023-04-13
2825,Hempcrete,436,NatureBricks,877.96,Miami,Yes,2023-04-17
2826,Bamboo Fiber,829,Sustainable Works,3393.47,San Francisco,Yes,2023-10-15
2827,Straw Bale,326,Sustainable Works,972.18,Chicago,No,2023-09-22
2828,Hempcrete,853,NatureBricks,4155.66,San Francisco,Yes,2023-02-20
2829,Straw Bale,235,Sustainable Works,555.11,Boston,No,2023-08-16
2830,Straw Bale,122,PlasticCycle,435.04,New York,No,2023-08-08
2831,Hempcrete,491,EarthInnovations,1436.45,Austin,Yes,2023-11-29
2832,Straw Bale,180,EarthInnovations,757.43,Austin,Yes,2023-12-28
2833,Hempcrete,410,EarthInnovations,1620.2,Miami,No,2023-02-04
2834,Hempcrete,175,GreenBuild Ltd.,797.28,Boston,No,2023-10-04
2835,Straw Bale,621,EarthInnovations,1987.82,Los Angeles,Yes,2023-07-11
2836,Straw Bale,997,GreenBuild Ltd.,4029.88,Los Angeles,Yes,2023-08-08
2837,Straw Bale,715,NatureBricks,2457.31,Denver,Yes,2023-05-19
2838,Straw Bale,461,PlasticCycle,1606.66,Boston,No,2023-05-19
2839,Straw Bale,760,NatureBricks,3534.17,Houston,No,2023-09-12
2840,Geopolymer,843,GreenBuild Ltd.,2946.44,Denver,Yes,2023-06-28
2841,Recycled Plastic,628,NatureBricks,1585.59,Chicago,No,2023-08-29
2842,Recycled Plastic,112,GreenBuild Ltd.,440.4,Austin,No,2023-12-14
2843,Straw Bale,927,PlasticCycle,2165.43,San Francisco,No,2023-06-06
2844,Hempcrete,603,Sustainable Works,1281.19,Chicago,No,2023-06-14
2845,Rammed Earth,890,EcoCement Co.,4238.83,Houston,Yes,2023-01-08
2846,Straw Bale,732,EcoCement Co.,3532.45,San Francisco,No,2023-09-17
2847,Recycled Plastic,162,EcoCement Co.,427.02,Miami,No,2023-11-22
2848,Rammed Earth,334,PlasticCycle,1068.49,San Francisco,Yes,2023-02-11
2849,Hempcrete,810,Sustainable Works,3238.3,New York,No,2023-08-29
2850,Geopolymer,769,EcoCement Co.,2019.94,Los Angeles,No,2023-05-23
2851,Recycled Plastic,909,EarthInnovations,4280.28,Boston,Yes,2023-01-19
2852,Straw Bale,570,PlasticCycle,2598.24,New York,Yes,2023-10-18
2853,Geopolymer,500,EcoCement Co.,1498.76,New York,Yes,2023-03-05
2854,Straw Bale,795,EarthInnovations,3476.91,Miami,Yes,2023-09-26
2855,Hempcrete,925,GreenBuild Ltd.,2304.75,New York,No,2023-06-05
2856,Geopolymer,714,NatureBricks,1474.84,Austin,Yes,2023-06-19
2857,Straw Bale,698,Sustainable Works,1909.53,San Francisco,Yes,2023-10-07
2858,Recycled Plastic,138,EarthInnovations,499.63,Austin,Yes,2023-11-19
2859,Recycled Plastic,561,Sustainable Works,2445.94,Los Angeles,No,2023-05-31
2860,Bamboo Fiber,685,EarthInnovations,1682.33,Los Angeles,Yes,2023-05-10
2861,Rammed Earth,389,EarthInnovations,1640.33,Miami,Yes,2023-03-07
2862,Recycled Plastic,807,NatureBricks,2334.61,Los Angeles,No,2023-04-23
2863,Geopolymer,926,Sustainable Works,2536.04,San Francisco,Yes,2023-01-30
2864,Hempcrete,929,EcoCement Co.,2604.82,Houston,No,2023-01-26
2865,Bamboo Fiber,430,EarthInnovations,1744.32,Houston,Yes,2023-04-21
2866,Straw Bale,797,PlasticCycle,1664.48,Los Angeles,No,2023-08-08
2867,Rammed Earth,560,EcoCement Co.,2357.27,Seattle,Yes,2023-02-01
2868,Hempcrete,774,Sustainable Works,3379.1,Los Angeles,No,2023-06-04
2869,Rammed Earth,647,PlasticCycle,2130.5,New York,Yes,2023-01-30
2870,Straw Bale,951,GreenBuild Ltd.,4302.58,Houston,Yes,2023-01-27
2871,Straw Bale,865,EcoCement Co.,3337.96,Houston,Yes,2023-06-21
2872,Geopolymer,488,EarthInnovations,2124.37,Seattle,No,2023-10-20
2873,Rammed Earth,686,Sustainable Works,3060.11,Chicago,Yes,2023-02-27
2874,Geopolymer,787,NatureBricks,2700.85,Denver,No,2023-02-14
2875,Bamboo Fiber,638,GreenBuild Ltd.,1378.97,Seattle,Yes,2023-12-19
2876,Rammed Earth,234,NatureBricks,643.1,Austin,No,2023-08-26
2877,Recycled Plastic,605,GreenBuild Ltd.,2976.69,Chicago,No,2023-06-19
2878,Straw Bale,124,EarthInnovations,304.78,Los Angeles,No,2023-09-11
2879,Bamboo Fiber,992,PlasticCycle,2927.45,New York,Yes,2023-11-11
2880,Straw Bale,910,EcoCement Co.,4010.69,Denver,No,2023-04-17
2881,Geopolymer,433,PlasticCycle,1449.26,Houston,Yes,2023-08-27
2882,Geopolymer,258,NatureBricks,534.27,Los Angeles,No,2023-11-04
2883,Recycled Plastic,507,NatureBricks,2300.45,Chicago,No,2023-05-04
2884,Rammed Earth,364,GreenBuild Ltd.,881.21,Seattle,Yes,2023-10-15
2885,Straw Bale,645,GreenBuild Ltd.,1409.22,Houston,Yes,2023-08-25
2886,Straw Bale,777,EarthInnovations,3583.65,Los Angeles,Yes,2023-11-20
2887,Straw Bale,399,GreenBuild Ltd.,1229.29,Los Angeles,No,2023-12-03
2888,Recycled Plastic,735,EcoCement Co.,3108.92,Houston,Yes,2023-10-08
2889,Hempcrete,801,PlasticCycle,3717.76,San Francisco,Yes,2023-09-09
2890,Geopolymer,626,EarthInnovations,2355.72,Los Angeles,Yes,2023-08-31
2891,Straw Bale,373,NatureBricks,1683.36,New York,Yes,2023-05-01
2892,Hempcrete,628,NatureBricks,1425.91,Seattle,Yes,2023-12-19
2893,Recycled Plastic,606,EcoCement Co.,1827.69,Seattle,Yes,2023-12-31
2894,Bamboo Fiber,621,EarthInnovations,2896.47,Chicago,No,2023-07-06
2895,Hempcrete,202,EcoCement Co.,825.8,New York,No,2023-02-13
2896,Bamboo Fiber,968,NatureBricks,3873.37,Austin,Yes,2023-03-11
2897,Straw Bale,333,PlasticCycle,1277.8,Chicago,No,2023-01-09
2898,Bamboo Fiber,270,GreenBuild Ltd.,1044.51,New York,No,2023-02-20
2899,Bamboo Fiber,629,GreenBuild Ltd.,1506.22,Chicago,Yes,2023-07-09
2900,Recycled Plastic,951,PlasticCycle,3787.0,Los Angeles,Yes,2023-02-13
2901,Geopolymer,681,PlasticCycle,3236.6,Denver,Yes,2023-04-05
2902,Bamboo Fiber,557,EarthInnovations,2074.27,Denver,Yes,2023-08-16
2903,Recycled Plastic,333,GreenBuild Ltd.,1629.02,New York,No,2023-04-12
2904,Rammed Earth,993,Sustainable Works,3146.73,Chicago,Yes,2023-03-17
2905,Geopolymer,257,Sustainable Works,1261.73,Austin,No,2023-12-29
2906,Recycled Plastic,665,GreenBuild Ltd.,1955.79,Houston,Yes,2023-06-20
2907,Straw Bale,545,NatureBricks,2198.97,Austin,No,2023-03-05
2908,Geopolymer,990,PlasticCycle,3836.59,New York,Yes,2023-11-08
2909,Rammed Earth,938,NatureBricks,3841.79,Denver,Yes,2023-07-08
2910,Rammed Earth,922,EarthInnovations,2251.5,Los Angeles,No,2023-10-23
2911,Recycled Plastic,479,EcoCement Co.,1859.64,New York,Yes,2023-05-05
2912,Bamboo Fiber,425,Sustainable Works,1903.07,Seattle,Yes,2023-02-03
2913,Recycled Plastic,797,EarthInnovations,2207.73,Los Angeles,Yes,2023-11-05
2914,Rammed Earth,180,PlasticCycle,383.95,New York,No,2023-06-04
2915,Straw Bale,224,NatureBricks,1100.83,Los Angeles,Yes,2023-05-28
2916,Bamboo Fiber,135,Sustainable Works,579.84,Austin,No,2023-10-22
2917,Geopolymer,114,EcoCement Co.,551.82,Houston,Yes,2023-06-21
2918,Rammed Earth,172,EcoCement Co.,445.92,Boston,Yes,2023-06-27
2919,Geopolymer,533,PlasticCycle,1913.28,Houston,No,2023-03-12
2920,Hempcrete,489,GreenBuild Ltd.,2174.17,Houston,No,2023-05-25
2921,Straw Bale,430,Sustainable Works,1578.11,Chicago,Yes,2023-08-31
2922,Bamboo Fiber,362,GreenBuild Ltd.,1006.67,Houston,Yes,2023-03-07
2923,Recycled Plastic,629,Sustainable Works,1923.23,Austin,No,2023-01-19
2924,Straw Bale,358,Sustainable Works,1057.06,Chicago,No,2023-11-21
2925,Straw Bale,197,NatureBricks,405.86,Denver,Yes,2023-06-26
2926,Straw Bale,412,NatureBricks,1668.12,Seattle,No,2023-04-14
2927,Rammed Earth,356,Sustainable Works,1260.45,Seattle,No,2023-09-23
2928,Straw Bale,244,GreenBuild Ltd.,824.89,Chicago,No,2023-08-10
2929,Geopolymer,966,EcoCement Co.,4106.88,Seattle,No,2023-03-20
2930,Bamboo Fiber,104,EarthInnovations,391.95,Los Angeles,No,2023-02-27
2931,Straw Bale,842,EarthInnovations,4140.58,Boston,No,2023-06-30
2932,Recycled Plastic,361,EcoCement Co.,1778.95,Denver,No,2023-08-30
2933,Bamboo Fiber,383,EarthInnovations,912.42,New York,Yes,2023-12-26
2934,Rammed Earth,928,PlasticCycle,3503.6,Chicago,Yes,2023-02-09
2935,Hempcrete,616,NatureBricks,1782.82,Seattle,Yes,2023-11-29
2936,Recycled Plastic,646,EcoCement Co.,1979.56,Denver,No,2023-09-19
2937,Straw Bale,583,PlasticCycle,2336.55,Boston,No,2023-01-06
2938,Geopolymer,223,NatureBricks,667.42,Chicago,No,2023-11-13
2939,Rammed Earth,834,EcoCement Co.,2606.86,Seattle,No,2023-04-13
2940,Bamboo Fiber,328,NatureBricks,923.19,Seattle,No,2023-04-20
2941,Rammed Earth,861,EcoCement Co.,4170.47,Seattle,No,2023-05-30
2942,Rammed Earth,586,GreenBuild Ltd.,1897.17,Austin,No,2023-10-16
2943,Bamboo Fiber,789,NatureBricks,2278.19,Seattle,Yes,2023-08-19
2944,Recycled Plastic,489,NatureBricks,2134.68,Austin,Yes,2023-07-26
2945,Straw Bale,199,GreenBuild Ltd.,695.39,Seattle,No,2023-11-12
2946,Recycled Plastic,257,EarthInnovations,1018.15,Houston,Yes,2023-09-22
2947,Recycled Plastic,642,Sustainable Works,3040.9,New York,No,2023-02-16
2948,Recycled Plastic,747,PlasticCycle,2180.29,Boston,No,2023-01-09
2949,Bamboo Fiber,945,Sustainable Works,2878.34,Boston,No,2023-06-24
2950,Straw Bale,128,PlasticCycle,302.6,Austin,Yes,2023-12-08
2951,Recycled Plastic,852,EcoCement Co.,4201.12,San Francisco,No,2023-07-04
2952,Geopolymer,251,EcoCement Co.,1154.71,Denver,Yes,2023-02-02
2953,Hempcrete,422,GreenBuild Ltd.,2101.78,Houston,No,2023-09-10
2954,Bamboo Fiber,139,EcoCement Co.,646.29,Houston,No,2023-08-30
2955,Recycled Plastic,920,Sustainable Works,2059.23,Seattle,Yes,2023-12-04
2956,Straw Bale,210,GreenBuild Ltd.,670.86,Denver,Yes,2023-02-02
2957,Rammed Earth,282,PlasticCycle,692.28,Los Angeles,Yes,2023-06-19
2958,Straw Bale,507,GreenBuild Ltd.,2354.73,Miami,No,2023-07-17
2959,Recycled Plastic,888,GreenBuild Ltd.,4283.47,Seattle,Yes,2023-05-17
2960,Hempcrete,990,Sustainable Works,2056.95,Austin,No,2023-03-22
2961,Bamboo Fiber,694,EarthInnovations,3067.17,Boston,No,2023-01-26
2962,Rammed Earth,445,NatureBricks,1963.94,Miami,Yes,2023-04-27
2963,Recycled Plastic,178,NatureBricks,597.94,Los Angeles,Yes,2023-11-20
2964,Rammed Earth,408,GreenBuild Ltd.,1684.22,Miami,No,2023-01-03
2965,Geopolymer,717,NatureBricks,2932.91,San Francisco,No,2023-07-21
2966,Geopolymer,653,NatureBricks,2020.25,Boston,No,2023-11-29
2967,Bamboo Fiber,951,Sustainable Works,2410.26,Austin,No,2023-05-25
2968,Recycled Plastic,945,PlasticCycle,1938.26,Houston,Yes,2023-03-23
2969,Recycled Plastic,387,Sustainable Works,1907.48,San Francisco,No,2023-07-21
2970,Straw Bale,634,PlasticCycle,1285.85,Denver,Yes,2023-01-06
2971,Bamboo Fiber,720,NatureBricks,2929.93,Chicago,Yes,2023-08-19
2972,Hempcrete,997,EcoCement Co.,2298.4,Chicago,No,2023-11-20
2973,Straw Bale,842,EcoCement Co.,2823.45,Seattle,No,2023-12-01
2974,Bamboo Fiber,261,NatureBricks,613.1,New York,No,2023-01-14
2975,Bamboo Fiber,664,PlasticCycle,3280.86,San Francisco,Yes,2023-10-22
2976,Straw Bale,915,NatureBricks,3516.68,Houston,Yes,2023-11-05
2977,Straw Bale,471,GreenBuild Ltd.,1595.53,Chicago,Yes,2023-01-25
2978,Geopolymer,448,EcoCement Co.,2118.79,Los Angeles,Yes,2023-09-01
2979,Straw Bale,515,NatureBricks,2476.28,Miami,No,2023-10-02
2980,Bamboo Fiber,746,EcoCement Co.,1561.55,Miami,No,2023-03-05
2981,Bamboo Fiber,304,NatureBricks,897.88,Miami,No,2023-05-26
2982,Recycled Plastic,167,Sustainable Works,615.39,Denver,No,2023-01-31
2983,Straw Bale,980,PlasticCycle,2846.26,Los Angeles,Yes,2023-08-29
2984,Straw Bale,916,NatureBricks,4486.17,Boston,Yes,2023-03-15
2985,Rammed Earth,817,PlasticCycle,2586.42,Austin,No,2023-06-01
2986,Rammed Earth,389,PlasticCycle,1395.44,Los Angeles,No,2023-01-28
2987,Bamboo Fiber,462,NatureBricks,2240.87,Denver,Yes,2023-10-26
2988,Geopolymer,625,Sustainable Works,1446.72,Denver,Yes,2023-01-08
2989,Straw Bale,635,PlasticCycle,2237.01,Los Angeles,No,2023-07-16
2990,Recycled Plastic,154,EcoCement Co.,769.77,Seattle,No,2023-12-14
2991,Hempcrete,731,PlasticCycle,3243.85,Seattle,Yes,2023-05-29
2992,Hempcrete,282,EarthInnovations,1092.79,San Francisco,No,2023-07-04
2993,Bamboo Fiber,757,Sustainable Works,1547.7,New York,Yes,2023-08-08
2994,Geopolymer,555,EarthInnovations,2718.34,San Francisco,Yes,2023-05-10
2995,Bamboo Fiber,637,GreenBuild Ltd.,1938.1,Los Angeles,No,2023-02-23
2996,Straw Bale,368,EarthInnovations,1020.23,Los Angeles,Yes,2023-04-08
2997,Bamboo Fiber,632,EcoCement Co.,2271.84,New York,Yes,2023-07-07
2998,Rammed Earth,291,PlasticCycle,1048.69,San Francisco,No,2023-03-29
2999,Straw Bale,868,GreenBuild Ltd.,3653.77,Denver,No,2023-12-04
3000,Rammed Earth,952,PlasticCycle,3933.62,Los Angeles,No,2023-01-29
3001,Rammed Earth,141,EarthInnovations,417.6,Chicago,Yes,2023-03-17
3002,Rammed Earth,840,EarthInnovations,3054.65,San Francisco,No,2023-01-16
3003,Straw Bale,105,EarthInnovations,344.32,Chicago,No,2023-01-27
3004,Bamboo Fiber,921,NatureBricks,4295.13,Denver,No,2023-06-25
3005,Straw Bale,618,GreenBuild Ltd.,1904.69,Los Angeles,Yes,2023-10-19
3006,Geopolymer,324,PlasticCycle,1002.64,Austin,Yes,2023-01-27
3007,Hempcrete,730,GreenBuild Ltd.,2066.82,San Francisco,No,2023-04-24
3008,Recycled Plastic,722,PlasticCycle,2994.13,New York,No,2023-10-16
3009,Hempcrete,705,NatureBricks,1666.06,Austin,Yes,2023-11-06
3010,Rammed Earth,913,EarthInnovations,1898.62,Denver,No,2023-02-05
3011,Hempcrete,250,GreenBuild Ltd.,1139.65,San Francisco,No,2023-08-31
3012,Hempcrete,544,Sustainable Works,2671.46,Chicago,No,2023-08-13
3013,Recycled Plastic,705,NatureBricks,2138.03,Denver,Yes,2023-05-09
3014,Bamboo Fiber,736,NatureBricks,3602.41,Austin,Yes,2023-07-23
